Country,Year,Disease Name,Disease Category,Prevalence Rate (%),Incidence Rate (%),Mortality Rate (%),Age Group,Gender,Population Affected,Healthcare Access (%),Doctors per 1000,Hospital Beds per 1000,Treatment Type,Average Treatment Cost (USD),Availability of Vaccines/Treatment,Recovery Rate (%),DALYs,Improvement in 5 Years (%),Per Capita Income (USD),Education Index,Urbanization Rate (%)
USA,2020,Ebola,Chronic,16.52,5.63,5.37,61+,Male,378749,84.61,4.1,5.01,Medication,10086,No,84.11,1699,7.36,26363,0.84,60.89
USA,2023,Measles,Neurological,7.83,4.62,8.42,19-35,Other,13230,62.37,2.54,2.4,Medication,2887,No,71.63,4417,5.87,40386,0.81,41.85
USA,2022,Dengue,Chronic,10.71,13.29,2.63,0-18,Male,355857,73.94,2.43,7.61,Therapy,14387,No,75.72,708,1.46,68575,0.58,25.54
USA,2020,Hepatitis,Autoimmune,8.95,5.24,7.96,61+,Female,254980,93.43,3.85,7.14,Surgery,32630,Yes,75.27,2967,7.81,9518,0.52,59.99
USA,2024,Measles,Cardiovascular,4.24,12.95,8.9,19-35,Other,914094,89.92,2.31,4.07,Therapy,23520,No,73.51,1927,0.86,952,0.83,66.95
USA,2021,Polio,Infectious,13.55,1.68,6.52,19-35,Female,366097,52.8,0.66,6.96,Vaccination,33246,Yes,94.66,4862,0.22,84623,0.49,26.04
USA,2022,Malaria,Cardiovascular,2.4,0.64,3.36,61+,Female,731220,62.15,2.22,8.78,Vaccination,22743,Yes,78.97,3769,5.93,35592,0.44,37.07
USA,2021,Measles,Parasitic,8.83,7.24,5.7,36-60,Male,85449,76.36,0.98,9.95,Therapy,21849,No,89.32,1063,2.0,40532,0.89,20.13
USA,2023,Zika,Chronic,18.08,14.18,8.48,0-18,Male,737760,64.57,2.11,2.77,Surgery,18683,Yes,97.67,4015,4.69,69870,0.85,31.12
USA,2022,Ebola,Autoimmune,6.7,3.22,8.05,0-18,Female,724428,89.73,1.04,4.95,Medication,3586,Yes,83.56,3056,6.28,62799,0.73,33.67
USA,2024,Zika,Bacterial,9.85,10.34,0.13,36-60,Other,745267,80.05,1.78,5.1,Therapy,42676,No,73.64,4455,5.76,18414,0.45,68.5
USA,2022,Diabetes,Metabolic,14.34,6.6,1.77,19-35,Male,936334,69.59,1.16,3.6,Surgery,21752,No,98.25,1781,9.7,44556,0.54,20.83
USA,2023,Dengue,Parasitic,12.57,7.69,4.7,61+,Male,579845,66.06,2.29,8.99,Surgery,12851,Yes,78.94,2018,3.96,60808,0.74,47.86
USA,2020,Hypertension,Respiratory,3.61,2.61,7.42,19-35,Male,848325,87.63,4.1,2.04,Vaccination,18475,No,93.01,3003,7.82,78121,0.42,56.55
USA,2023,Alzheimer's Disease,Chronic,0.58,0.97,1.33,61+,Female,56168,61.53,1.69,5.09,Therapy,16969,Yes,93.73,2145,9.32,88565,0.69,43.92
USA,2022,Rabies,Viral,17.37,6.71,5.27,36-60,Other,142111,73.26,4.46,7.07,Medication,8707,No,69.2,371,2.23,79589,0.53,44.13
USA,2021,Dengue,Infectious,12.18,4.78,9.82,19-35,Other,958981,83.13,1.38,5.62,Surgery,25389,Yes,74.74,3087,6.22,22821,0.64,27.07
USA,2020,Malaria,Infectious,11.06,14.5,4.36,36-60,Female,287784,65.08,1.27,8.45,Vaccination,29205,Yes,97.66,2190,6.7,98855,0.52,36.83
USA,2021,Parkinson's Disease,Genetic,17.0,6.99,6.16,36-60,Female,5488,89.88,1.86,9.24,Vaccination,9350,No,98.91,1494,5.76,69242,0.67,73.85
USA,2022,Hepatitis,Bacterial,9.94,0.23,5.22,19-35,Other,361434,82.38,1.84,3.96,Medication,1639,No,62.88,447,9.59,57468,0.43,88.7
USA,2023,Tuberculosis,Viral,3.38,1.25,1.93,36-60,Other,417790,62.78,4.76,8.53,Vaccination,46653,Yes,83.82,3644,0.94,22760,0.43,44.73
USA,2023,Leprosy,Metabolic,5.29,5.62,4.31,19-35,Male,472002,54.06,4.86,3.81,Surgery,5037,No,56.16,423,5.16,10452,0.49,63.79
USA,2023,Rabies,Cardiovascular,10.52,9.64,2.41,0-18,Other,344945,82.02,3.99,1.38,Vaccination,29480,No,82.06,478,5.86,50899,0.77,59.11
USA,2021,Ebola,Neurological,19.1,13.28,6.12,19-35,Female,300561,73.39,4.16,7.49,Surgery,29855,Yes,56.28,4139,7.5,18710,0.64,65.11
USA,2022,Dengue,Cardiovascular,16.81,2.43,0.88,36-60,Female,78187,62.39,2.74,5.64,Vaccination,4734,No,61.99,1155,6.04,89050,0.51,68.49
USA,2022,Malaria,Metabolic,6.14,4.14,7.6,61+,Female,313089,63.86,4.68,7.63,Surgery,43956,Yes,80.1,2360,4.25,82231,0.61,47.35
USA,2021,Asthma,Bacterial,6.02,7.55,9.62,61+,Other,520057,99.02,1.32,8.71,Medication,17301,Yes,56.3,2271,2.56,35597,0.46,35.18
USA,2022,Hepatitis,Infectious,4.49,2.34,5.2,19-35,Female,675048,85.47,2.72,2.72,Medication,46820,Yes,52.33,4894,4.09,70275,0.88,37.42
USA,2020,Malaria,Genetic,15.6,13.85,4.9,0-18,Female,882095,66.41,4.33,3.42,Vaccination,26826,Yes,51.72,3791,8.41,58617,0.71,53.65
USA,2024,Alzheimer's Disease,Parasitic,19.14,4.66,9.48,0-18,Male,157038,62.18,4.17,8.93,Vaccination,37878,Yes,74.66,1569,5.66,48048,0.46,88.19
USA,2021,Alzheimer's Disease,Bacterial,6.01,6.65,9.64,19-35,Male,755699,72.08,3.1,1.28,Vaccination,36077,Yes,97.21,3923,0.94,78743,0.59,28.89
USA,2022,HIV/AIDS,Respiratory,11.03,8.62,6.65,36-60,Other,340005,89.34,2.49,8.77,Vaccination,44379,Yes,82.59,4943,0.92,66387,0.59,61.85
USA,2023,Diabetes,Autoimmune,19.65,13.25,1.98,36-60,Male,34100,87.27,2.98,7.01,Medication,23405,Yes,92.71,2039,5.69,80659,0.4,36.9
USA,2021,Polio,Genetic,3.69,1.71,6.27,19-35,Male,713361,73.67,4.92,1.04,Surgery,128,No,60.52,2326,3.01,35275,0.88,76.04
USA,2024,Diabetes,Infectious,9.68,1.41,8.01,36-60,Female,21964,60.44,2.55,3.56,Vaccination,32456,No,61.07,2301,5.31,98583,0.53,87.65
USA,2022,Measles,Bacterial,15.34,8.77,5.77,19-35,Other,522170,89.86,0.69,0.57,Therapy,23621,No,89.48,3690,1.02,57351,0.83,87.45
USA,2022,Hepatitis,Autoimmune,15.74,4.75,3.83,19-35,Male,63156,86.8,1.08,6.28,Therapy,5557,No,72.62,4741,2.49,88363,0.78,87.2
USA,2021,Dengue,Cardiovascular,1.93,11.47,7.92,0-18,Female,516413,92.32,1.38,6.82,Therapy,13689,No,90.33,3154,2.86,65678,0.81,77.73
USA,2022,Ebola,Autoimmune,3.21,10.37,3.25,36-60,Female,558296,60.74,4.7,7.74,Vaccination,27423,No,70.79,1564,8.84,6385,0.43,76.07
USA,2023,Measles,Metabolic,6.77,9.62,1.84,36-60,Female,655749,99.07,1.67,5.43,Vaccination,13161,Yes,95.27,3482,1.87,53182,0.64,50.62
USA,2022,Dengue,Bacterial,6.37,4.4,9.1,19-35,Female,318911,80.58,1.5,8.97,Surgery,1284,No,60.92,927,2.97,25114,0.77,36.85
USA,2024,Alzheimer's Disease,Genetic,18.31,12.39,0.43,36-60,Other,416645,64.97,0.56,3.09,Medication,453,Yes,77.05,3246,10.0,53678,0.85,83.21
USA,2024,Hypertension,Bacterial,2.22,14.81,5.68,61+,Male,559785,81.02,3.28,9.94,Therapy,8760,No,57.44,2339,8.3,58596,0.69,39.91
USA,2024,Polio,Chronic,8.05,0.24,5.79,19-35,Other,875320,75.59,1.14,2.98,Therapy,2589,Yes,64.66,1056,5.33,60758,0.83,53.08
USA,2021,Dengue,Infectious,19.37,3.13,7.15,36-60,Female,994958,85.6,3.89,5.45,Surgery,6565,Yes,73.78,2879,7.44,64919,0.86,45.66
USA,2022,Rabies,Infectious,0.88,8.87,4.38,61+,Female,171976,59.27,1.9,9.75,Vaccination,36620,Yes,65.4,2612,2.47,89157,0.87,41.6
USA,2024,Zika,Infectious,7.02,3.07,3.61,61+,Other,695757,94.28,1.74,7.66,Surgery,15304,No,78.68,1884,8.44,47640,0.65,87.59
USA,2020,HIV/AIDS,Autoimmune,9.91,9.89,6.64,0-18,Male,396583,58.12,2.4,1.2,Therapy,34637,No,68.43,4709,8.28,83864,0.58,84.26
USA,2021,HIV/AIDS,Metabolic,5.96,3.01,7.35,0-18,Other,727819,53.71,2.41,5.75,Therapy,47306,Yes,56.07,2145,5.77,82693,0.68,40.83
USA,2022,Measles,Infectious,17.48,1.32,6.74,61+,Other,209767,97.72,4.75,9.01,Therapy,40806,Yes,92.32,3945,4.67,96085,0.71,88.93
USA,2021,Diabetes,Chronic,2.1,2.32,6.09,36-60,Other,645704,70.54,3.1,1.58,Surgery,37416,Yes,83.75,3469,8.45,19351,0.6,20.24
USA,2024,Cholera,Autoimmune,12.23,14.3,9.52,19-35,Male,446401,86.23,3.11,2.71,Medication,37627,No,91.02,4654,7.33,61778,0.46,72.64
USA,2020,Leprosy,Respiratory,5.41,14.39,8.33,19-35,Other,857946,71.44,4.16,1.38,Surgery,44111,No,55.44,727,8.37,89076,0.67,42.86
USA,2020,Parkinson's Disease,Genetic,6.72,11.21,3.62,19-35,Female,146382,67.23,1.14,4.92,Surgery,3837,No,66.36,3556,2.91,37461,0.55,62.43
USA,2024,COVID-19,Viral,9.48,4.8,9.36,61+,Male,229262,76.04,2.07,7.9,Therapy,20237,Yes,91.41,1205,3.66,60689,0.82,48.05
USA,2020,Zika,Bacterial,17.09,5.05,3.2,0-18,Female,142790,81.18,3.05,9.4,Surgery,490,No,89.16,2458,5.65,17618,0.52,54.61
USA,2023,Diabetes,Autoimmune,1.39,9.42,4.55,36-60,Male,698543,93.88,2.87,9.37,Surgery,35778,Yes,74.5,1992,6.32,29392,0.79,76.07
USA,2023,Tuberculosis,Respiratory,7.25,10.48,7.17,0-18,Other,131736,67.9,3.74,5.37,Vaccination,44400,Yes,81.06,2081,2.71,85128,0.52,76.9
USA,2021,Tuberculosis,Neurological,11.24,7.42,0.7,19-35,Female,163603,75.3,0.86,2.71,Surgery,31066,No,62.03,3882,4.27,89899,0.72,86.82
USA,2023,Hepatitis,Chronic,16.25,4.26,8.1,36-60,Female,797270,54.79,2.25,1.89,Medication,19182,No,58.11,1870,8.31,47575,0.61,25.44
USA,2024,Tuberculosis,Bacterial,10.86,5.38,6.4,61+,Other,247649,91.03,1.28,5.47,Medication,42330,No,90.26,1964,2.48,48193,0.51,42.37
USA,2022,Hepatitis,Genetic,13.62,2.85,1.86,19-35,Other,120561,85.81,3.23,9.85,Vaccination,39931,No,78.73,334,8.15,1329,0.57,84.5
USA,2024,Rabies,Parasitic,15.43,14.98,3.05,0-18,Male,554426,95.04,4.29,2.04,Vaccination,44965,Yes,96.97,873,9.58,51376,0.54,77.74
USA,2024,Cholera,Infectious,8.55,14.32,2.05,61+,Male,34646,61.9,4.55,5.62,Therapy,15828,No,64.08,76,7.77,7420,0.73,39.05
USA,2024,Hepatitis,Bacterial,3.76,0.31,6.32,19-35,Male,234792,97.77,3.54,6.95,Vaccination,20182,No,60.64,3585,4.68,19384,0.42,53.3
USA,2022,Alzheimer's Disease,Genetic,13.82,7.3,0.42,36-60,Female,453291,79.31,2.98,9.3,Surgery,24948,Yes,53.35,1152,3.98,60214,0.68,54.06
USA,2020,Dengue,Respiratory,17.4,8.55,7.4,61+,Other,188443,87.7,2.02,2.76,Surgery,39530,Yes,95.42,3829,5.09,28508,0.81,22.17
USA,2020,Asthma,Bacterial,15.97,12.8,5.04,36-60,Female,199927,77.84,3.91,9.21,Therapy,11941,Yes,97.46,3423,3.09,57574,0.76,68.45
USA,2021,Ebola,Cardiovascular,6.13,2.01,1.07,36-60,Other,969686,57.76,0.72,3.78,Medication,7453,No,68.0,376,3.62,32031,0.82,27.97
USA,2021,HIV/AIDS,Genetic,7.09,10.66,9.21,0-18,Female,932861,61.45,3.92,7.82,Medication,46342,Yes,94.28,3295,6.25,32544,0.58,74.44
USA,2023,Malaria,Genetic,12.24,14.31,1.79,61+,Female,650176,94.53,3.28,2.76,Surgery,25045,No,50.23,255,7.8,60713,0.57,22.27
USA,2024,Influenza,Autoimmune,2.59,13.54,2.55,36-60,Other,575605,72.35,3.33,9.12,Surgery,5590,Yes,87.92,4560,3.6,27880,0.88,71.86
USA,2024,Malaria,Parasitic,3.84,3.02,9.17,61+,Other,336769,70.18,4.63,3.68,Vaccination,15068,No,78.84,1475,8.19,89689,0.81,32.97
USA,2024,Ebola,Parasitic,17.79,13.58,9.06,61+,Male,876273,86.6,3.27,4.86,Therapy,24373,Yes,62.22,3931,6.68,22477,0.52,41.01
USA,2022,Dengue,Viral,14.55,3.05,9.4,36-60,Male,309288,71.32,0.81,9.05,Vaccination,7598,Yes,59.71,1206,9.21,23466,0.67,57.03
USA,2020,Leprosy,Parasitic,0.9,12.37,6.31,36-60,Female,271637,81.7,2.71,2.57,Therapy,26067,No,98.68,4771,8.52,34502,0.43,51.08
USA,2022,Alzheimer's Disease,Chronic,16.05,10.68,3.78,36-60,Other,626972,64.84,1.3,7.19,Therapy,5711,No,68.48,3160,7.51,76741,0.71,49.29
USA,2021,Tuberculosis,Respiratory,8.64,5.39,1.08,36-60,Female,955779,68.25,0.88,1.69,Therapy,13075,No,93.94,934,1.57,43779,0.53,34.3
USA,2024,Malaria,Parasitic,9.89,0.54,3.99,36-60,Female,892412,98.88,3.39,7.63,Vaccination,39823,No,96.25,86,9.11,38499,0.44,80.29
USA,2021,Alzheimer's Disease,Cardiovascular,5.07,4.36,1.57,0-18,Other,278197,88.74,4.93,0.5,Vaccination,48349,No,80.8,4694,9.1,87594,0.83,51.87
USA,2022,Zika,Cardiovascular,0.79,6.97,3.86,0-18,Other,765122,80.74,2.24,6.26,Surgery,24850,No,81.6,3645,3.43,62763,0.55,60.98
USA,2023,Alzheimer's Disease,Bacterial,12.1,0.24,8.68,19-35,Other,130362,62.75,3.09,9.33,Medication,35973,Yes,80.43,2324,1.65,10827,0.62,80.07
USA,2020,COVID-19,Chronic,15.3,2.47,9.63,61+,Male,572830,90.12,4.55,9.58,Vaccination,6722,No,85.13,4457,8.55,54393,0.45,61.19
USA,2022,Hepatitis,Metabolic,2.81,8.8,8.29,19-35,Other,847656,69.27,4.74,4.82,Vaccination,7838,Yes,69.35,2060,5.21,49384,0.64,54.58
USA,2022,Hypertension,Chronic,11.58,7.13,2.84,36-60,Male,878196,78.41,4.34,6.63,Surgery,5367,No,60.45,1365,7.42,26465,0.47,33.06
USA,2020,Rabies,Chronic,11.54,14.0,6.36,19-35,Other,310150,54.43,4.23,7.21,Vaccination,38907,Yes,61.23,1680,6.72,40885,0.5,78.13
USA,2020,Malaria,Infectious,7.48,4.45,0.59,19-35,Other,426150,85.2,2.93,2.85,Medication,48770,Yes,54.04,4076,3.64,23608,0.41,34.3
USA,2024,Diabetes,Infectious,12.94,3.92,0.55,61+,Other,807718,96.83,4.4,6.62,Medication,39244,Yes,84.67,4214,6.03,79228,0.59,56.04
USA,2020,Hypertension,Viral,12.37,9.2,4.32,0-18,Other,321226,84.73,0.58,3.11,Surgery,10305,Yes,60.72,3372,0.57,78990,0.46,68.65
USA,2022,Alzheimer's Disease,Cardiovascular,0.84,14.29,5.17,36-60,Female,963736,65.43,3.28,8.24,Therapy,47016,Yes,56.44,2986,0.35,60573,0.56,61.09
USA,2024,COVID-19,Bacterial,12.68,10.22,1.55,36-60,Male,409958,98.47,2.79,7.43,Surgery,28531,Yes,50.54,3692,7.82,71977,0.76,73.96
USA,2021,Diabetes,Genetic,3.28,13.2,2.87,19-35,Other,139212,67.76,1.71,9.42,Therapy,39674,Yes,54.2,1771,6.03,4041,0.78,32.38
USA,2021,Leprosy,Viral,18.93,9.52,5.19,0-18,Female,909220,93.85,2.89,1.24,Therapy,13390,Yes,70.29,3054,4.37,48487,0.64,42.31
USA,2024,Ebola,Viral,2.31,8.84,6.74,0-18,Other,591837,63.92,1.7,7.95,Medication,38934,Yes,95.19,2260,1.96,34601,0.56,85.0
USA,2020,Asthma,Parasitic,0.87,12.67,0.54,19-35,Female,153066,50.18,1.44,8.58,Surgery,3288,Yes,90.78,3861,2.8,93879,0.66,39.33
USA,2024,Dengue,Infectious,7.63,12.24,2.39,19-35,Other,695703,58.01,3.66,0.74,Surgery,37371,Yes,97.13,645,0.26,65450,0.62,71.64
USA,2023,Diabetes,Metabolic,16.13,7.0,5.14,0-18,Other,18396,54.3,0.95,6.15,Therapy,34363,No,85.62,2558,4.45,94146,0.87,23.6
USA,2020,Alzheimer's Disease,Neurological,8.76,3.12,1.43,61+,Female,66894,87.15,2.02,3.11,Surgery,19787,Yes,67.46,1284,9.48,92029,0.47,43.96
USA,2021,Asthma,Cardiovascular,11.59,3.42,2.17,19-35,Female,511523,52.58,3.74,4.06,Medication,38312,Yes,88.74,4546,3.37,11417,0.65,58.5
USA,2021,Malaria,Infectious,16.99,13.05,0.33,19-35,Female,481940,89.98,1.55,4.82,Surgery,41731,No,90.91,857,2.79,99617,0.41,24.44
USA,2024,Diabetes,Parasitic,15.3,11.53,4.11,36-60,Other,878587,80.77,3.63,9.84,Surgery,21656,No,84.87,3959,1.2,49876,0.88,65.72
USA,2022,Ebola,Respiratory,1.33,10.55,7.84,61+,Female,529945,59.89,4.7,0.97,Surgery,29186,Yes,66.03,806,4.78,12612,0.5,38.3
USA,2021,Cancer,Genetic,2.88,10.9,3.0,36-60,Female,533240,75.45,1.5,3.97,Therapy,26086,Yes,62.07,3886,8.98,71009,0.48,42.08
USA,2022,Ebola,Autoimmune,7.3,6.74,0.79,19-35,Male,513282,57.74,3.6,6.02,Surgery,30606,Yes,59.04,2135,5.82,28520,0.69,89.76
USA,2021,HIV/AIDS,Genetic,11.2,9.13,7.38,19-35,Female,38452,66.59,4.64,9.0,Therapy,28316,Yes,55.65,1827,1.02,3032,0.81,37.36
USA,2021,COVID-19,Autoimmune,2.85,12.12,0.2,0-18,Other,549374,62.15,2.55,4.51,Vaccination,13199,No,64.21,2960,7.24,27164,0.68,32.78
USA,2021,Parkinson's Disease,Bacterial,8.24,0.97,9.67,36-60,Male,345830,50.76,2.69,1.91,Vaccination,19758,No,65.91,1367,1.7,41456,0.46,78.73
USA,2021,Tuberculosis,Neurological,13.97,14.11,2.23,61+,Other,96618,70.08,1.54,1.67,Vaccination,35214,Yes,96.52,4690,9.15,34886,0.5,79.71
USA,2021,Parkinson's Disease,Metabolic,5.56,12.61,0.52,0-18,Male,843822,77.39,4.23,1.83,Medication,4942,No,87.86,2906,0.06,65128,0.55,51.63
USA,2023,Diabetes,Cardiovascular,6.98,14.87,2.22,61+,Other,730017,90.21,3.21,7.45,Surgery,22749,Yes,55.92,3933,0.64,69317,0.75,42.07
USA,2020,Alzheimer's Disease,Chronic,19.15,6.26,2.68,36-60,Male,216914,64.11,0.83,3.87,Medication,25631,Yes,93.84,4825,0.67,87257,0.85,55.5
USA,2020,Hepatitis,Infectious,5.59,0.52,8.31,0-18,Other,447271,93.12,2.18,7.8,Surgery,17243,Yes,66.6,3331,8.22,27344,0.42,78.97
USA,2024,Measles,Respiratory,2.86,8.72,2.13,0-18,Female,204729,76.5,1.97,6.32,Medication,27415,Yes,77.29,1457,8.35,27544,0.9,38.57
USA,2022,Cancer,Neurological,18.95,13.44,8.88,61+,Male,387972,56.4,4.5,5.44,Surgery,26062,No,86.75,3263,5.58,17752,0.43,40.21
USA,2022,Cholera,Infectious,10.04,8.72,0.77,19-35,Female,441614,87.73,2.61,2.6,Therapy,8921,No,58.37,2874,4.11,27218,0.71,66.58
USA,2023,Influenza,Bacterial,1.78,10.45,8.18,36-60,Male,307666,55.41,1.22,5.06,Vaccination,18802,No,78.08,3776,9.16,7733,0.64,86.74
USA,2021,Diabetes,Chronic,8.06,1.39,7.79,19-35,Male,252148,69.56,1.84,0.59,Therapy,27743,No,88.59,140,1.23,5025,0.68,60.75
USA,2023,Alzheimer's Disease,Cardiovascular,7.2,8.94,8.97,19-35,Female,334092,96.18,1.98,8.65,Vaccination,11404,No,96.41,4196,4.44,35039,0.62,27.33
USA,2020,Alzheimer's Disease,Neurological,19.57,7.37,6.34,61+,Female,206956,71.91,4.64,8.53,Surgery,7146,Yes,66.97,4551,8.45,44524,0.42,56.09
USA,2024,Alzheimer's Disease,Autoimmune,3.42,1.23,9.4,36-60,Female,636629,56.82,4.96,6.85,Vaccination,21076,Yes,80.14,2399,6.01,58811,0.55,61.04
USA,2023,Diabetes,Infectious,11.43,10.34,7.97,61+,Other,25459,53.02,1.9,4.52,Medication,46313,Yes,67.02,3237,7.67,77318,0.59,35.15
USA,2021,Zika,Respiratory,0.86,7.18,4.86,19-35,Female,196423,85.16,4.16,3.93,Vaccination,11770,No,82.17,1242,5.86,88878,0.56,63.38
USA,2020,Hepatitis,Respiratory,14.72,5.35,0.97,19-35,Other,260142,60.6,0.79,3.51,Surgery,20437,No,94.41,1831,1.7,4255,0.78,82.29
USA,2020,Zika,Cardiovascular,8.88,13.22,4.92,19-35,Male,486474,80.84,3.71,4.26,Surgery,42827,Yes,57.62,3492,6.22,63466,0.71,48.92
USA,2024,Polio,Neurological,16.15,11.9,0.71,0-18,Other,38479,88.99,4.83,2.57,Surgery,24247,Yes,95.49,3629,1.35,88976,0.73,60.99
USA,2024,Influenza,Genetic,2.88,3.17,4.05,19-35,Other,560203,82.5,4.06,7.25,Medication,49479,Yes,73.62,800,6.07,83309,0.74,31.27
USA,2020,Malaria,Bacterial,16.91,10.46,1.08,0-18,Female,679024,94.48,3.06,0.58,Vaccination,1217,Yes,74.87,2295,3.28,54241,0.83,48.41
USA,2021,Rabies,Cardiovascular,3.59,12.94,0.31,19-35,Other,584511,82.23,3.12,9.03,Surgery,35690,No,82.88,2071,2.08,54294,0.87,28.66
USA,2020,Measles,Bacterial,16.26,6.66,0.75,19-35,Female,779052,79.75,3.11,3.6,Vaccination,1894,Yes,93.28,3690,6.42,50101,0.52,73.6
USA,2020,Asthma,Autoimmune,13.85,3.02,2.89,36-60,Other,167221,83.73,1.64,5.55,Medication,10880,Yes,54.39,1052,4.54,19639,0.42,42.08
USA,2021,Diabetes,Genetic,11.55,5.54,1.24,19-35,Male,679854,87.58,2.58,4.58,Medication,36111,Yes,52.56,222,4.9,24216,0.7,50.77
USA,2024,COVID-19,Chronic,4.87,1.93,4.25,0-18,Female,167261,60.81,4.61,8.22,Therapy,10670,No,54.63,949,0.95,34062,0.87,61.53
USA,2021,Parkinson's Disease,Cardiovascular,6.16,9.9,2.92,19-35,Male,68704,73.43,2.92,2.49,Medication,17842,Yes,92.91,4736,5.11,90890,0.73,51.04
USA,2023,Dengue,Neurological,3.95,0.48,5.52,61+,Male,838750,60.83,0.57,9.3,Surgery,13931,No,86.15,3700,0.57,74451,0.66,33.88
USA,2022,Leprosy,Genetic,15.33,8.66,0.78,61+,Female,257911,70.9,4.32,4.15,Medication,31640,No,72.27,159,4.52,27452,0.44,38.15
USA,2024,Asthma,Genetic,9.55,12.4,7.68,0-18,Other,688225,69.5,1.77,8.34,Therapy,44012,No,90.75,2306,3.47,18592,0.61,43.44
USA,2020,Polio,Parasitic,3.06,2.88,9.99,19-35,Female,751867,90.49,2.69,9.06,Surgery,18655,Yes,61.81,3278,5.28,71914,0.71,38.2
USA,2023,Rabies,Cardiovascular,1.74,12.06,2.67,19-35,Female,452708,87.24,3.53,3.75,Therapy,26155,Yes,74.89,565,4.13,41655,0.78,39.42
USA,2024,Asthma,Neurological,16.37,4.61,1.08,61+,Male,430112,90.73,2.78,8.39,Vaccination,14263,No,80.05,5000,1.8,23954,0.79,76.46
USA,2020,Leprosy,Neurological,9.14,14.93,3.01,19-35,Male,275791,74.81,4.21,3.72,Vaccination,37689,Yes,66.44,4934,3.29,93923,0.59,81.69
USA,2024,Cholera,Neurological,2.66,5.49,9.61,61+,Other,661388,64.78,4.01,2.22,Vaccination,42285,No,75.58,3467,3.43,33173,0.72,40.19
USA,2022,Parkinson's Disease,Parasitic,3.61,12.22,9.06,61+,Other,163809,55.26,4.89,6.76,Therapy,9207,No,94.33,1739,9.92,91875,0.82,42.7
USA,2020,Asthma,Chronic,8.4,12.82,2.07,36-60,Female,728870,96.53,0.7,9.71,Surgery,45770,Yes,76.26,1669,5.29,35644,0.48,39.21
USA,2021,Hypertension,Infectious,19.85,11.42,2.13,61+,Other,516847,86.03,2.02,3.08,Vaccination,49887,No,75.32,3841,8.78,83111,0.49,27.63
USA,2024,HIV/AIDS,Cardiovascular,14.71,2.29,5.17,61+,Other,860253,68.32,0.56,9.57,Vaccination,22872,No,76.15,1684,1.07,88714,0.78,60.0
USA,2024,Dengue,Neurological,12.77,4.47,2.07,0-18,Male,306731,80.95,0.7,1.02,Medication,39101,Yes,80.06,740,8.45,53067,0.42,79.03
USA,2021,Cancer,Genetic,14.08,10.86,7.12,0-18,Male,93266,73.56,3.47,7.0,Medication,16663,No,55.71,1656,3.08,91892,0.6,70.35
USA,2023,Hepatitis,Respiratory,15.54,10.57,3.74,36-60,Male,389910,92.84,4.1,7.24,Therapy,42412,No,84.97,1644,2.32,13199,0.56,38.13
USA,2023,Influenza,Respiratory,6.38,5.12,4.3,19-35,Other,715191,99.29,4.92,8.57,Surgery,22635,No,63.42,4537,6.43,90634,0.67,55.51
USA,2020,Diabetes,Viral,15.43,12.92,8.15,36-60,Female,452557,79.16,2.88,3.71,Vaccination,18981,No,79.43,870,3.06,87865,0.41,21.58
USA,2021,Diabetes,Neurological,14.4,8.2,7.34,0-18,Female,244230,87.44,4.84,8.56,Therapy,14575,Yes,50.64,3826,2.67,76973,0.88,61.16
USA,2021,Measles,Parasitic,11.53,0.69,2.23,61+,Other,347629,63.83,2.02,1.43,Vaccination,14638,Yes,70.59,1084,4.18,67220,0.86,70.97
USA,2020,Ebola,Autoimmune,2.29,9.62,7.95,36-60,Female,737206,78.58,0.99,6.96,Surgery,3963,Yes,64.24,3438,9.16,41794,0.71,73.16
USA,2023,Malaria,Neurological,4.35,11.58,7.55,36-60,Male,214148,97.02,1.42,2.21,Therapy,1437,No,79.98,2220,5.62,78052,0.57,56.34
USA,2024,Dengue,Chronic,15.64,7.37,1.86,36-60,Male,735023,57.53,2.17,6.07,Therapy,38266,No,84.39,3378,9.13,76629,0.6,32.87
USA,2024,Parkinson's Disease,Metabolic,19.58,6.43,2.11,19-35,Other,656124,95.94,1.01,7.11,Medication,37083,Yes,78.09,18,9.24,9215,0.53,85.52
USA,2020,Measles,Viral,3.28,14.62,6.19,19-35,Other,716971,70.16,3.0,8.02,Surgery,30166,Yes,79.31,4024,6.91,87050,0.4,85.99
USA,2022,Dengue,Cardiovascular,1.63,6.71,0.41,0-18,Female,661535,96.23,0.96,2.65,Therapy,45092,No,86.15,2526,1.5,97275,0.57,61.22
USA,2021,Zika,Viral,2.56,0.11,8.34,0-18,Other,303689,60.81,4.12,5.65,Medication,31141,Yes,87.92,1476,9.57,63588,0.61,43.18
USA,2023,Cancer,Chronic,16.67,11.59,2.86,36-60,Male,208572,61.32,1.3,5.32,Surgery,22185,Yes,89.34,44,4.21,34676,0.46,39.53
USA,2022,Cholera,Bacterial,18.28,2.52,0.91,0-18,Female,998436,51.0,4.95,5.35,Surgery,43293,Yes,70.7,1193,2.78,35329,0.44,62.24
USA,2020,Zika,Chronic,6.55,6.89,6.55,61+,Other,347606,58.54,3.2,6.85,Surgery,2123,Yes,65.42,1705,3.96,19486,0.67,47.48
USA,2024,Malaria,Genetic,18.05,0.53,5.32,36-60,Other,102295,58.94,0.72,3.44,Medication,12871,Yes,96.64,2541,5.54,4911,0.73,47.83
